suppliername,invoiceno,taxtype,gst(y/n),itemname,qty,cp,mrp,sp,framemultipletype(y/n),frametype,framecolour,framesize,framemodel
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,STATE,8,200,800,800,N,NONE,NONE,NONE,STATE FIXPAD
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,JHONNY MILLER,2,200,1950,1950,N,NONE,NONE,NONE,JM 5502
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,CALABRIA,3,200,780,780,N,NONE,NONE,NONE,CA 1614
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,JENNIFER LOPEZ,11,200,1200,1200,N,NONE,NONE,NONE,JENNIFER LOPEZ
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,TR 2266,1,200,1800,1800,N,NONE,NONE,NONE,TR 2266
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,TR 2230,1,200,1800,1800,N,NONE,NONE,NONE,TR 2230
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,BANRAYS,3,200,950,950,N,NONE,NONE,NONE,CO 2
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SINCE ,7,200,630,630,N,NONE,NONE,NONE,5/8/2003
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,COOPLEY,2,200,600,600,N,NONE,NONE,NONE,COOPLEY 600
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,MRD,2,200,480,480,N,NONE,NONE,NONE,MRD MTL
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,RAJVEER,1,200,500,500,N,NONE,NONE,NONE,TR 5303
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SMALL KID,6,200,600,600,N,NONE,NONE,NONE,SMALL KID
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,ALBERT,2,200,650,650,N,NONE,NONE,NONE,6002
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,SPAINI,3,200,580,580,N,NONE,NONE,NONE,SPAINI 002
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,RICKY ,1,200,750,750,N,NONE,NONE,NONE,RICKY 002
OLD_STOCK_SUPPLIER,20-21-01,Inclusive,Y,LIGHT BR,1,200,820,820,N,NONE,NONE,NONE,LIGHT 002
